,NADH,cell_index,celltype,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,Label_Count,Group
2,neurons-004,109,cell,297.8289474,331.2987632,2417.511447,77.115075,0.929186605,99.34210526,115.4041645,1788.204737,87.70763684,12.29236316,1.098411895,0.737869025,802.5308771,320.6939127,95.5739697,49.61031499,310.063316,3.258420823,0.084152249,18.97616233,18.96452327,109.4240451,1.128406507,1.128406507,0.110757099,0.067510281,57.85849468,36.70481151,76,72,AC
3,neurons-004,109,cyto,301.7083333,332.4985,2404.371528,77.037675,0.932738333,98.54166667,115.2184236,1783.488056,87.73359167,12.26640833,1.101686153,0.742532417,802.0003312,319.5037291,95.23690809,50.43006204,311.7747188,3.31187696,0.082715972,19.00254801,19.31588999,108.9809109,1.13774462,1.13774462,0.112525968,0.064189482,59.02845575,37.11773112,72,72,AC
4,neurons-004,128,cell,207.5,370.83725,2582.09125,81.6914875,1.0744825,94.375,146.89025,1837.51625,86.3264375,13.6735625,1.02460775,0.684421887,766.2905582,376.83897,47.7553288,59.65712025,476.0443192,3.126789158,0.096879709,21.72515001,20.88669801,108.5667679,1.789497507,1.789497507,0.151002706,0.060741893,72.41816455,41.83345716,8,8,AC
5,neurons-004,128,cyto,207.5,370.83725,2582.09125,81.6914875,1.0744825,94.375,146.89025,1837.51625,86.3264375,13.6735625,1.02460775,0.684421887,766.2905582,376.83897,47.7553288,59.65712025,476.0443192,3.126789158,0.096879709,21.72515001,20.88669801,108.5667679,1.789497507,1.789497507,0.151002706,0.060741893,72.41816455,41.83345716,8,8,AC
6,neurons-004,146,cell,258.875,336.8773125,2257.171875,81.0622875,1.037010938,103.5,139.1803125,1884.441875,87.21668125,12.78331875,0.968677313,0.709043754,694.2806522,362.46751,66.68720517,25.49875449,319.4949486,3.008222808,0.099580508,24.37485043,18.15941144,130.0590284,0.936838995,0.936838995,0.0711421,0.064862265,49.92527177,41.51619625,16,16,AC
7,neurons-004,146,cyto,258.875,336.8773125,2257.171875,81.0622875,1.037010938,103.5,139.1803125,1884.441875,87.21668125,12.78331875,0.968677313,0.709043754,694.2806522,362.46751,66.68720517,25.49875449,319.4949486,3.008222808,0.099580508,24.37485043,18.15941144,130.0590284,0.936838995,0.936838995,0.0711421,0.064862265,49.92527177,41.51619625,16,16,AC
8,neurons-004,164,cell,273.8979592,367.9375918,2559.857143,73.55273878,1.015003694,99.26530612,165.0065306,2025.709184,87.35251224,12.64748776,0.98888798,0.729304621,938.6294653,399.5931175,52.41590284,99.97075923,409.0792445,4.540159118,0.08447504,15.48356052,22.9359626,124.401347,0.922516117,0.922516117,0.075967283,0.052996422,147.2304438,30.7296173,49,49,AC
9,neurons-004,164,cyto,273.8979592,367.9375918,2559.857143,73.55273878,1.015003694,99.26530612,165.0065306,2025.709184,87.35251224,12.64748776,0.98888798,0.729304621,938.6294653,399.5931175,52.41590284,99.97075923,409.0792445,4.540159118,0.08447504,15.48356052,22.9359626,124.401347,0.922516117,0.922516117,0.075967283,0.052996422,147.2304438,30.7296173,49,49,AC
10,neurons-004,18,cell,342.4086022,345.4423978,2479.207419,76.48078817,0.994123645,118.1612903,154.8699355,1886.907097,86.24676022,13.75323978,1.103233656,0.734236184,840.5234209,392.7140017,97.13205227,45.81468762,282.6595721,3.902853632,0.092987185,19.58942168,19.96281446,104.9394849,1.25256169,1.25256169,0.100610384,0.054825405,69.68260964,38.37761243,93,88,AC
11,neurons-004,18,cyto,350.9204545,345.119125,2482.284659,76.45285568,0.99012983,119.4886364,156.8495341,1892.608977,86.16351705,13.83648295,1.107193761,0.73832553,841.7324209,396.5739136,92.00652421,46.65784865,276.8406456,3.948147627,0.0919592,18.42224687,18.63313171,104.7130336,1.232137294,1.232137294,0.100950623,0.049996081,70.30142932,35.65965047,88,88,AC
12,neurons-004,182,cell,305.6888889,336.6525111,2523.380444,75.76463667,1.012960611,90.8,117.3868033,1741.692667,88.34830667,11.65169389,1.097028822,0.764805824,860.9597112,303.470273,78.65164905,72.38329513,315.5766655,3.120975473,0.111134436,14.551111,14.23529518,211.7483525,1.872285529,1.87228473,0.116238689,0.04514891,97.36044323,28.05072704,90,85,AC
13,neurons-004,182,cyto,309.2352941,336.0144,2521.935412,75.77232353,1.020233329,90.57647059,116.2686859,1736.834588,88.38356,11.61644094,1.094818871,0.767659167,860.2297225,301.2164797,78.78189408,73.10576132,312.2281311,3.062608024,0.10739293,14.75302751,13.03817751,216.2995611,1.856285008,1.856283836,0.118506081,0.042772426,97.18924595,25.18955847,85,85,AC
14,neurons-004,200,cell,333.4935622,339.941412,2564.530687,75.76443047,1.000110931,107.3733906,152.7256408,1895.788455,85.68711416,14.31288584,0.99999012,0.750879047,873.5502942,402.054302,89.17631316,54.062287,288.2983771,3.987706147,0.123151832,27.81438748,24.13913667,145.5871239,1.486786791,1.486786791,0.10147881,0.06299441,84.39229367,50.93192302,233,228,AC
15,neurons-004,200,cyto,334.1798246,339.7708246,2565.075088,75.7394364,0.999817566,107.8903509,153.2093654,1901.143202,85.66515439,14.33484561,1.000027588,0.750221834,874.2151263,403.5639331,89.39107829,54.58148156,289.7721303,3.935077933,0.123971495,27.74079669,23.99975808,141.978794,1.494223595,1.494223595,0.102213927,0.06332088,84.60591775,50.23862568,228,228,AC
16,neurons-004,219,cell,244.6705882,357.7613765,2438.776588,78.2687,0.998921176,75.85882353,153.3924294,1949.839882,88.88926824,11.11073353,1.023242918,0.756530993,803.0917634,350.7108728,58.73353634,46.22510761,340.3944353,2.826121971,0.10689957,15.11003525,38.52479857,241.2036667,1.863111702,1.863110497,0.092911488,0.060901797,70.82481623,62.23567994,85,85,AC
17,neurons-004,219,cyto,244.6705882,357.7613765,2438.776588,78.2687,0.998921176,75.85882353,153.3924294,1949.839882,88.88926824,11.11073353,1.023242918,0.756530993,803.0917634,350.7108728,58.73353634,46.22510761,340.3944353,2.826121971,0.10689957,15.11003525,38.52479857,241.2036667,1.863111702,1.863110497,0.092911488,0.060901797,70.82481623,62.23567994,85,85,AC
18,neurons-004,237,cell,303.2409639,347.3260361,2345.981928,78.28950241,0.980597241,79.68674699,126.9495518,1927.608434,88.9418988,11.05810361,1.039755976,0.778827701,773.0430292,325.2529389,104.8519968,53.14979531,292.1324708,3.842103058,0.11376659,13.27286588,23.30471287,124.6382092,1.798314486,1.798311532,0.097350289,0.062495981,44.66985598,49.94062865,83,78,AC
19,neurons-004,237,cyto,310.1410256,347.0179487,2319.638077,78.02371282,0.977502974,78.91025641,127.0132744,1929.923205,89.06775769,10.93224487,1.04259009,0.786148887,773.0210031,323.3484427,102.9919584,53.54149517,278.2580435,3.803091406,0.112953085,12.77902695,23.47922164,127.4007174,1.713818994,1.713815883,0.0976569,0.053133765,44.48651866,49.79034219,78,78,AC
20,neurons-004,255,cell,254.7640449,348.5495281,2264.801348,80.41314045,1.001086472,77.96629213,142.2737079,1826.113258,87.08115843,12.9188418,0.967568764,0.752799203,719.1613486,359.2274414,84.32769178,55.66819847,253.3565458,3.025257374,0.113249131,17.60194297,18.28147505,125.9580321,1.786401781,1.786401214,0.124209172,0.076560473,58.00898719,41.60176655,89,85,AC
21,neurons-004,255,cyto,254.9411765,348.9226353,2260.542471,80.44374824,1.005585894,78.77647059,142.6863294,1841.441529,87.08858588,12.91141435,0.965661553,0.750566307,718.0100641,361.4176215,85.25903847,56.86295123,255.2084171,3.033599348,0.113169952,17.48017685,18.50292911,106.0755013,1.799217589,1.799217001,0.125715893,0.07723545,59.06334365,40.70904678,85,85,AC
22,neurons-004,36,cell,311.9014085,338.4842535,2419.629014,73.34028451,0.94246631,109.6338028,138.7265394,1800.414507,86.03760141,13.96239859,1.081670451,0.732214566,886.9543881,370.676358,93.67987357,73.1041193,278.2392296,6.983264768,0.096524039,27.88970083,26.11647507,104.7421242,1.824580404,1.824580404,0.134742969,0.06502063,171.9818352,56.09127889,71,67,AC
23,neurons-004,36,cyto,314.6119403,342.0783881,2442.833284,73.49771343,0.944512746,110.4925373,140.0122881,1797.425821,85.9404194,14.0595806,1.075362716,0.732377519,892.8561303,373.0231924,94.49674601,73.21312926,264.8354378,7.129967343,0.095363388,28.34280045,26.17718345,106.2749224,1.819999161,1.819999161,0.133537267,0.065665427,174.9422773,56.3762982,67,67,AC
